"","PIB","Industria","FBCF","Familias","Adm.Publica"
"Desvio Padrão",0.0180364141677957,0.0333617994866146,0.0524393528327627,0.0203505244343381,0.0182664835343916
"Correlação com PIB",1,0.835756552976471,0.80560638973453,0.832284567423329,0.365471942153576
"DP relativo ao PIB",1,1.84969136194392,2.90741565063381,1.12830212507951,1.01275582632199
